,statecounty,allrace_cvd_mortality_per_100k_2018_2020,api_cvd_mortality_per_100k_2018_2020
623,19O'Brien County,317.7,
624,19Osceola County,279.6,
625,19Page County,371.4,
626,19Palo Alto County,317.4,
627,19Plymouth County,214.1,
628,19Pocahontas County,368.1,
629,19Polk County,318.2,229.1
630,19Pottawattamie County,341.6,102.5
631,19Poweshiek County,318.0,
632,19Ringgold County,394.3,
633,19Sac County,336.1,
634,19Scott County,328.8,75.6
635,19Shelby County,332.8,
636,19Sioux County,226.4,
637,19Story County,250.4,176.2
638,19Tama County,390.0,
639,19Taylor County,382.4,
640,19Union County,361.9,
641,19Van Buren County,409.2,
642,19Wapello County,446.6,
643,19Warren County,327.0,190.1
644,19Washington County,295.6,
645,19Wayne County,396.6,
646,19Webster County,411.0,
647,19Winnebago County,346.0,
648,19Winneshiek County,264.2,
649,19Woodbury County,308.7,240.1
650,19Worth County,324.6,
651,19Wright County,367.6,
652,16Ada County,267.7,137.7
653,16Adams County,214.0,
654,16Bannock County,369.2,
655,16Bear Lake County,295.3,
656,16Benewah County,282.7,
657,16Bingham County,343.9,
658,16Blaine County,162.8,
659,16Boise County,219.8,129.6
660,16Bonner County,263.4,166.0
661,16Bonneville County,351.3,
662,16Boundary County,249.7,
663,16Butte County,343.5,
664,16Camas County,276.7,
665,16Canyon County,328.5,141.3
666,16Caribou County,353.6,
667,16Cassia County,343.2,
668,16Clark County,325.4,
669,16Clearwater County,251.6,
670,16Custer County,256.6,
671,16Elmore County,314.5,125.5
672,16Franklin County,298.3,
673,16Fremont County,286.9,
674,16Gem County,379.1,137.4
675,16Gooding County,323.5,
676,16Idaho County,263.9,
677,16Jefferson County,355.6,
678,16Jerome County,323.8,
679,16Kootenai County,280.0,166.9
680,16Latah County,240.8,
681,16Lemhi County,313.6,
682,16Lewis County,258.0,
683,16Lincoln County,331.7,
684,16Madison County,450.9,
685,16Minidoka County,312.8,
686,16Nez Perce County,288.6,
687,16Oneida County,342.0,
688,16Owyhee County,312.2,137.2
689,16Payette County,349.2,
690,16Power County,305.2,
691,16Shoshone County,287.9,
692,16Teton County,190.6,
693,16Twin Falls County,330.3,
694,16Valley County,140.6,
695,16Washington County,327.4,
696,17Adams County,295.8,
697,17Alexander County,442.8,
698,17Bond County,385.4,
699,17Boone County,317.8,77.9
700,17Brown County,337.3,
701,17Bureau County,373.0,
702,17Calhoun County,324.4,
703,17Carroll County,350.3,
704,17Cass County,365.2,
705,17Champaign County,274.3,122.3
706,17Christian County,336.2,
707,17Clark County,405.1,
708,17Clay County,429.0,
709,17Clinton County,371.6,
710,17Coles County,329.4,
711,17Cook County,329.7,155.2
712,17Crawford County,395.0,
713,17Cumberland County,312.1,
714,17DeKalb County,309.4,113.9
715,17De Witt County,358.9,
716,17Douglas County,290.0,
717,17DuPage County,250.8,154.9
718,17Edgar County,405.7,117.9
719,17Edwards County,395.2,
720,17Effingham County,296.2,
721,17Fayette County,321.0,
722,17Ford County,363.7,121.5
723,17Franklin County,343.6,
724,17Fulton County,377.9,
725,17Gallatin County,375.4,
726,17Greene County,389.7,
727,17Grundy County,331.3,159.5
728,17Hamilton County,374.9,
729,17Hancock County,349.8,
730,17Hardin County,420.1,
731,17Henderson County,418.2,
732,17Henry County,375.2,
733,17Iroquois County,403.6,
734,17Jackson County,339.8,
735,17Jasper County,317.9,
736,17Jefferson County,390.4,
737,17Jersey County,416.9,198.2
738,17Jo Daviess County,297.6,
739,17Johnson County,305.8,
740,17Kane County,251.7,152.9
741,17Kankakee County,435.2,168.3
742,17Kendall County,248.3,153.7
743,17Knox County,380.5,
744,17Lake County,251.5,148.1
745,17LaSalle County,359.2,
746,17Lawrence County,338.5,
747,17Lee County,356.7,
748,17Livingston County,368.4,
749,17Logan County,334.9,
750,17McDonough County,392.1,
751,17McHenry County,289.5,127.2
752,17McLean County,324.5,116.8
753,17Macon County,337.9,
754,17Macoupin County,370.4,
755,17Madison County,388.3,147.2
756,17Marion County,420.1,
757,17Marshall County,354.5,
758,17Mason County,334.0,
759,17Massac County,330.3,
760,17Menard County,313.7,
761,17Mercer County,345.7,
762,17Monroe County,338.2,165.4
763,17Montgomery County,341.1,
764,17Morgan County,450.3,
765,17Moultrie County,329.2,
766,17Ogle County,326.1,118.8
767,17Peoria County,337.6,133.8
768,17Perry County,349.6,
769,17Piatt County,320.5,115.8
770,17Pike County,314.9,
771,17Pope County,300.7,
772,17Pulaski County,431.7,
773,17Putnam County,359.6,
774,17Randolph County,347.6,
775,17Richland County,374.1,
776,17Rock Island County,350.5,242.2
777,17St. Clair County,363.6,102.7
778,17Saline County,377.6,
779,17Sangamon County,330.4,134.4
780,17Schuyler County,351.3,
781,17Scott County,395.6,
782,17Shelby County,326.9,
783,17Stark County,360.6,
784,17Stephenson County,309.4,
785,17Tazewell County,324.3,137.4
786,17Union County,449.4,
787,17Vermilion County,365.1,
788,17Wabash County,336.5,
789,17Warren County,407.2,
790,17Washington County,359.9,
791,17Wayne County,390.6,
792,17White County,380.3,
793,17Whiteside County,374.1,
794,17Will County,312.6,155.9
795,17Williamson County,301.2,
796,17Winnebago County,359.9,112.9
797,17Woodford County,332.8,141.0
798,18Adams County,296.7,156.6
799,18Allen County,323.1,178.6
800,18Bartholomew County,316.2,218.5
801,18Benton County,384.9,
802,18Blackford County,367.6,
803,18Boone County,347.7,139.2
804,18Brown County,301.0,209.1
805,18Carroll County,267.1,
806,18Cass County,271.0,
807,18Clark County,382.4,210.1
808,18Clay County,441.7,
809,18Clinton County,312.2,127.1
810,18Crawford County,374.9,
811,18Daviess County,369.4,
812,18Dearborn County,337.5,114.2
813,18Decatur County,354.6,
814,18DeKalb County,334.3,177.1
815,18Delaware County,390.1,
816,18Dubois County,362.5,
817,18Elkhart County,332.6,
818,18Fayette County,457.6,
819,18Floyd County,346.8,227.1
820,18Fountain County,387.5,
821,18Franklin County,318.2,
822,18Fulton County,378.2,
823,18Gibson County,377.8,
824,18Grant County,360.6,
825,18Greene County,370.3,
826,18Hamilton County,244.7,142.9
827,18Hancock County,284.9,151.1
828,18Harrison County,322.6,236.4
829,18Hendricks County,309.3,157.3
830,18Henry County,358.7,
831,18Howard County,425.0,
832,18Huntington County,326.7,176.6
833,18Jackson County,359.1,
834,18Jasper County,411.4,214.4
835,18Jay County,321.2,
836,18Jefferson County,399.2,
837,18Jennings County,379.3,
838,18Johnson County,345.6,212.4
839,18Knox County,384.9,
840,18Kosciusko County,348.2,
841,18LaGrange County,339.5,
842,18Lake County,394.3,161.6
843,18LaPorte County,415.7,175.5
844,18Lawrence County,359.9,
845,18Madison County,339.7,127.5
846,18Marion County,347.1,176.1
847,18Marshall County,368.7,
848,18Martin County,368.0,
849,18Miami County,352.1,
850,18Monroe County,303.6,161.2
851,18Montgomery County,426.2,
852,18Morgan County,383.8,183.8
853,18Newton County,405.6,215.0
854,18Noble County,340.9,178.3
855,18Ohio County,275.3,
856,18Orange County,374.2,
857,18Owen County,382.5,
858,18Parke County,361.2,
859,18Perry County,368.2,
860,18Pike County,358.4,
861,18Porter County,326.6,219.5
862,18Posey County,349.5,
863,18Pulaski County,403.6,
864,18Putnam County,336.8,
865,18Randolph County,387.8,
866,18Ripley County,375.6,
867,18Rush County,370.4,
868,18St. Joseph County,334.9,180.1
869,18Scott County,394.4,
870,18Shelby County,330.2,177.8
871,18Spencer County,370.5,
872,18Starke County,460.0,167.7
873,18Steuben County,333.2,
874,18Sullivan County,432.9,
875,18Switzerland County,356.1,
876,18Tippecanoe County,277.9,112.9
877,18Tipton County,344.4,141.9
878,18Union County,361.7,
879,18Vanderburgh County,360.9,
880,18Vermillion County,435.5,
881,18Vigo County,462.1,
882,18Wabash County,338.2,
883,18Warren County,351.5,
884,18Warrick County,361.6,
885,18Washington County,392.2,
886,18Wayne County,450.3,
887,18Wells County,326.1,170.8
888,18White County,352.8,
889,18Whitley County,320.2,167.6
890,20Allen County,367.2,
891,20Anderson County,342.7,
892,20Atchison County,345.0,
893,20Barber County,456.2,
894,20Barton County,341.8,
895,20Bourbon County,383.5,
896,20Brown County,385.0,
897,20Butler County,338.2,130.3
898,20Chase County,346.7,
899,20Chautauqua County,402.1,
900,20Cherokee County,508.2,
901,20Cheyenne County,266.0,
902,20Clark County,374.2,
903,20Clay County,305.4,
